numero_pedido,numero_linha_pedido,status_pedido,id_trimestre,id_mes,id_ano,linha_produto,codigo_produto,preco_sugerido,quantidade_solicitada,preco_unitario,valor_total,porte_negocio,nome_cliente,data
10183,8,Enviado,4,11,2003,Carros Clássicos,S10_1949,214,23,100.0,5372.57,Médio,"Classic Gift Ideas, Inc",13-11-2003
10194,11,Enviado,4,11,2003,Carros Clássicos,S10_1949,214,42,100.0,7290.36,Grande,"Saveley & Henriot, Co.",25-11-2003
10206,6,Enviado,4,12,2003,Carros Clássicos,S10_1949,214,47,100.0,9064.89,Grande,Canadian Gift Exchange Network,05-12-2003
10215,3,Enviado,1,1,2004,Carros Clássicos,S10_1949,214,35,100.0,6075.3,Médio,West Coast Collectables Co.,29-01-2004
10228,2,Enviado,1,3,2004,Carros Clássicos,S10_1949,214,29,100.0,6463.23,Médio,Cambridge Collectables Co.,10-03-2004
10245,9,Enviado,2,5,2004,Carros Clássicos,S10_1949,214,34,100.0,6120.34,Médio,Super Scale Inc.,04-05-2004
10258,6,Enviado,2,6,2004,Carros Clássicos,S10_1949,214,32,100.0,7680.64,Grande,"Tokyo Collectables, Ltd",15-06-2004
10270,9,Enviado,3,7,2004,Carros Clássicos,S10_1949,214,21,100.0,4905.39,Médio,Souveniers And Things Co.,19-07-2004
10280,2,Enviado,3,8,2004,Carros Clássicos,S10_1949,214,34,100.0,8014.82,Grande,Amica Models & Co.,17-08-2004
10291,11,Enviado,3,9,2004,Carros Clássicos,S10_1949,214,37,100.0,7136.19,Grande,Scandinavian Gift Ideas,08-09-2004
10304,6,Enviado,4,10,2004,Carros Clássicos,S10_1949,214,47,100.0,10172.7,Grande,Auto Assoc. & Cie.,11-10-2004
10312,3,Enviado,4,10,2004,Carros Clássicos,S10_1949,214,48,100.0,11623.7,Grande,Mini Gifts Distributors Ltd.,21-10-2004
10322,1,Enviado,4,11,2004,Carros Clássicos,S10_1949,214,40,100.0,6000.4,Médio,Online Diecast Creations Co.,04-11-2004
10333,3,Enviado,4,11,2004,Carros Clássicos,S10_1949,214,26,100.0,3003.0,Médio,Mini Wheels Co.,18-11-2004
10347,1,Enviado,4,11,2004,Carros Clássicos,S10_1949,214,30,100.0,3944.7,Médio,"Australian Collectors, Co.",29-11-2004
10357,10,Enviado,4,12,2004,Carros Clássicos,S10_1949,214,32,100.0,5691.84,Médio,Mini Gifts Distributors Ltd.,10-12-2004
10369,2,Enviado,1,1,2005,Carros Clássicos,S10_1949,214,41,100.0,4514.92,Médio,Collectables For Less Inc.,20-01-2005
10381,3,Enviado,1,2,2005,Carros Clássicos,S10_1949,214,36,100.0,8254.8,Grande,Corporate Gift Ideas Co.,17-02-2005
10391,4,Enviado,1,3,2005,Carros Clássicos,S10_1949,214,24,100.0,2416.56,Pequeno,"Anna's Decorations, Ltd",09-03-2005
10411,9,Enviado,2,5,2005,Carros Clássicos,S10_1949,214,23,100.0,4140.23,Médio,Quebec Home Shopping Network,01-05-2005
10424,6,Em processamento,2,5,2005,Carros Clássicos,S10_1949,214,50,100.0,12001.0,Grande,Euro Shopping Channel,31-05-2005
10107,5,Enviado,1,2,2003,Motos,S10_2016,118,39,99.91,3896.49,Médio,Land of Toys Inc.,24-02-2003
10120,3,Enviado,2,4,2003,Motos,S10_2016,118,29,96.34,2793.86,Pequeno,"Australian Collectors, Co.",29-04-2003
10134,5,Enviado,3,7,2003,Motos,S10_2016,118,27,100.0,3307.77,Médio,Lyon Souveniers,01-07-2003
10145,9,Enviado,3,8,2003,Motos,S10_2016,118,37,100.0,5192.95,Médio,Toys4GrownUps.com,25-08-2003
10159,17,Enviado,4,10,2003,Motos,S10_2016,118,37,100.0,5016.83,Médio,Corporate Gift Ideas Co.,10-10-2003
10168,4,Enviado,4,10,2003,Motos,S10_2016,118,27,100.0,3660.93,Médio,Technics Stores Inc.,28-10-2003
10180,12,Enviado,4,11,2003,Motos,S10_2016,118,42,100.0,4695.6,Médio,Daedalus Designs Imports,11-11-2003
10188,4,Enviado,4,11,2003,Motos,S10_2016,118,38,96.34,3660.92,Médio,Herkku Gifts,18-11-2003
10201,5,Enviado,4,12,2003,Motos,S10_2016,118,24,100.0,3025.92,Médio,Mini Wheels Co.,01-12-2003
10210,2,Enviado,1,1,2004,Motos,S10_2016,118,23,100.0,3009.09,Médio,Osaka Souveniers Co.,12-01-2004
10223,4,Enviado,1,2,2004,Motos,S10_2016,118,47,100.0,5422.39,Médio,"Australian Collectors, Co.",20-02-2004
10236,1,Enviado,2,4,2004,Motos,S10_2016,118,22,100.0,2852.08,Pequeno,Motor Mint Distributors Inc.,03-04-2004
10251,5,Enviado,2,5,2004,Motos,S10_2016,118,44,100.0,5756.52,Médio,Tekni Collectables Inc.,18-05-2004
10263,5,Enviado,2,6,2004,Motos,S10_2016,118,40,100.0,4472.0,Médio,Gift Depot Inc.,28-06-2004
10275,4,Enviado,3,7,2004,Motos,S10_2016,118,22,100.0,2904.44,Pequeno,La Rochelle Gifts,23-07-2004
10285,9,Enviado,3,8,2004,Motos,S10_2016,118,47,100.0,6484.59,Médio,Marta's Replicas Co.,27-08-2004
10298,1,Enviado,3,9,2004,Motos,S10_2016,118,39,96.34,3757.26,Médio,Atelier graphique,27-09-2004
10308,2,Enviado,4,10,2004,Motos,S10_2016,118,34,100.0,4043.96,Médio,Mini Classics,15-10-2004
10318,4,Enviado,4,11,2004,Motos,S10_2016,118,45,100.0,5566.5,Médio,Diecast Classics Inc.,02-11-2004
10329,2,Enviado,4,11,2004,Motos,S10_2016,118,20,100.0,3176.0,Médio,Land of Toys Inc.,15-11-2004
10339,4,Enviado,4,11,2004,Motos,S10_2016,118,40,68.92,2756.8,Pequeno,"Tokyo Collectables, Ltd",23-11-2004
10361,8,Enviado,4,12,2004,Motos,S10_2016,118,26,51.15,1329.9,Pequeno,Souveniers And Things Co.,17-12-2004
10374,5,Enviado,1,2,2005,Motos,S10_2016,118,39,100.0,5288.01,Médio,"Australian Gift Network, Co",02-02-2005
10388,5,Enviado,1,3,2005,Motos,S10_2016,118,50,44.51,2225.5,Pequeno,FunGiftIdeas.com,03-03-2005
10402,1,Enviado,2,4,2005,Motos,S10_2016,118,45,100.0,5833.8,Médio,Auto Canal Petit,07-04-2005
10417,5,Em disputa,2,5,2005,Motos,S10_2016,118,45,100.0,5887.35,Médio,Euro Shopping Channel,13-05-2005
10107,4,Enviado,1,2,2003,Motos,S10_4698,193,27,100.0,6065.55,Médio,Land of Toys Inc.,24-02-2003
10120,2,Enviado,2,4,2003,Motos,S10_4698,193,46,100.0,9264.86,Grande,"Australian Collectors, Co.",29-04-2003
10134,4,Enviado,3,7,2003,Motos,S10_4698,193,31,100.0,7023.98,Grande,Lyon Souveniers,01-07-2003
10145,8,Enviado,3,8,2003,Motos,S10_4698,193,33,100.0,5176.38,Médio,Toys4GrownUps.com,25-08-2003
10159,16,Enviado,4,10,2003,Motos,S10_4698,193,22,100.0,4132.7,Médio,Corporate Gift Ideas Co.,10-10-2003
10168,3,Enviado,4,10,2003,Motos,S10_4698,193,20,100.0,4183.0,Médio,Technics Stores Inc.,28-10-2003
10180,11,Enviado,4,11,2003,Motos,S10_4698,193,41,100.0,8892.9,Grande,Daedalus Designs Imports,11-11-2003
10188,3,Enviado,4,11,2003,Motos,S10_4698,193,45,100.0,8714.7,Grande,Herkku Gifts,18-11-2003
10201,4,Enviado,4,12,2003,Motos,S10_4698,193,49,100.0,8065.89,Grande,Mini Wheels Co.,01-12-2003
10210,1,Enviado,1,1,2004,Motos,S10_4698,193,34,100.0,6123.4,Médio,Osaka Souveniers Co.,12-01-2004
10223,3,Enviado,1,2,2004,Motos,S10_4698,193,49,100.0,9774.03,Grande,"Australian Collectors, Co.",20-02-2004
10237,9,Enviado,2,4,2004,Motos,S10_4698,193,39,100.0,7023.9,Grande,Vitachrome Inc.,05-04-2004
10251,4,Enviado,2,5,2004,Motos,S10_4698,193,43,100.0,7078.23,Grande,Tekni Collectables Inc.,18-05-2004
10263,4,Enviado,2,6,2004,Motos,S10_4698,193,41,100.0,8336.94,Grande,Gift Depot Inc.,28-06-2004
10275,3,Enviado,3,7,2004,Motos,S10_4698,193,36,100.0,6901.92,Médio,La Rochelle Gifts,23-07-2004
10285,8,Enviado,3,8,2004,Motos,S10_4698,193,27,100.0,5438.07,Médio,Marta's Replicas Co.,27-08-2004
10299,11,Enviado,3,9,2004,Motos,S10_4698,193,29,100.0,6683.34,Médio,"Toys of Finland, Co.",30-09-2004
10308,1,Enviado,4,10,2004,Motos,S10_4698,193,20,100.0,4570.4,Médio,Mini Classics,15-10-2004
10318,3,Enviado,4,11,2004,Motos,S10_4698,193,37,100.0,7667.14,Grande,Diecast Classics Inc.,02-11-2004
10329,3,Enviado,4,11,2004,Motos,S10_4698,193,26,100.0,5868.2,Médio,Land of Toys Inc.,15-11-2004
10339,3,Enviado,4,11,2004,Motos,S10_4698,193,39,76.67,2990.13,Pequeno,"Tokyo Collectables, Ltd",23-11-2004
10362,4,Enviado,1,1,2005,Motos,S10_4698,193,22,100.0,3664.1,Médio,Technics Stores Inc.,05-01-2005
10374,1,Enviado,1,2,2005,Motos,S10_4698,193,22,100.0,3834.38,Médio,"Australian Gift Network, Co",02-02-2005
10388,7,Enviado,1,3,2005,Motos,S10_4698,193,21,86.77,1822.17,Pequeno,FunGiftIdeas.com,03-03-2005
10403,9,Enviado,2,4,2005,Motos,S10_4698,193,66,100.0,11886.6,Grande,"UK Collectables, Ltd.",08-04-2005
10417,4,Em disputa,2,5,2005,Motos,S10_4698,193,56,100.0,9218.16,Grande,Euro Shopping Channel,13-05-2005
10105,2,Enviado,1,2,2003,Carros Clássicos,S10_4757,136,50,100.0,7208.0,Grande,Danish Wholesale Imports,11-02-2003
10119,11,Enviado,2,4,2003,Carros Clássicos,S10_4757,136,46,100.0,5004.8,Médio,Salzburg Collectables,28-04-2003
10129,2,Enviado,2,6,2003,Carros Clássicos,S10_4757,136,33,100.0,4398.24,Médio,"Stylish Desk Decors, Co.",12-06-2003
10143,15,Enviado,3,8,2003,Carros Clássicos,S10_4757,136,49,100.0,5597.76,Médio,Mini Creations Ltd.,10-08-2003
10155,13,Enviado,4,10,2003,Carros Clássicos,S10_4757,136,32,100.0,4526.08,Médio,"Toys of Finland, Co.",06-10-2003
10167,9,Cancelado,4,10,2003,Carros Clássicos,S10_4757,136,44,100.0,5924.16,Médio,Scandinavian Gift Ideas,23-10-2003
10178,12,Enviado,4,11,2003,Carros Clássicos,S10_4757,136,24,100.0,3492.48,Médio,Alpha Cognac,08-11-2003
10186,9,Enviado,4,11,2003,Carros Clássicos,S10_4757,136,26,100.0,3854.24,Médio,"Double Decker Gift Stores, Ltd",14-11-2003
10197,6,Enviado,4,11,2003,Carros Clássicos,S10_4757,136,45,100.0,5324.4,Médio,Enaco Distributors,26-11-2003
10209,8,Enviado,1,1,2004,Carros Clássicos,S10_4757,136,39,100.0,5197.92,Médio,"Men 'R' US Retailers, Ltd.",09-01-2004
10222,12,Enviado,1,2,2004,Carros Clássicos,S10_4757,136,49,100.0,5997.6,Médio,Collectable Mini Designs Co.,19-02-2004
10248,3,Cancelado,2,5,2004,Carros Clássicos,S10_4757,136,20,100.0,2910.4,Pequeno,Land of Toys Inc.,07-05-2004
10261,1,Enviado,2,6,2004,Carros Clássicos,S10_4757,136,27,100.0,3378.24,Médio,Quebec Home Shopping Network,17-06-2004
10273,4,Enviado,3,7,2004,Carros Clássicos,S10_4757,136,30,100.0,3508.8,Médio,Petit Auto,21-07-2004
10283,6,Enviado,3,8,2004,Carros Clássicos,S10_4757,136,25,100.0,2992.0,Pequeno,"Royal Canadian Collectables, Ltd.",20-08-2004
10295,1,Enviado,3,9,2004,Carros Clássicos,S10_4757,136,24,100.0,3427.2,Médio,Gifts4AllAges.com,10-09-2004
10307,9,Enviado,4,10,2004,Carros Clássicos,S10_4757,136,22,100.0,2692.8,Pequeno,"Classic Gift Ideas, Inc",14-10-2004
10316,17,Enviado,4,11,2004,Carros Clássicos,S10_4757,136,33,100.0,4128.96,Médio,giftsbymail.co.uk,01-11-2004
10325,6,Enviado,4,11,2004,Carros Clássicos,S10_4757,136,47,64.93,3051.71,Médio,Baane Mini Imports,05-11-2004
10337,8,Enviado,4,11,2004,Carros Clássicos,S10_4757,136,25,48.05,1201.25,Pequeno,Classic Legends Inc.,21-11-2004
10350,5,Enviado,4,12,2004,Carros Clássicos,S10_4757,136,26,75.47,1962.22,Pequeno,Euro Shopping Channel,02-12-2004
10359,6,Enviado,4,12,2004,Carros Clássicos,S10_4757,136,48,54.68,2624.64,Pequeno,Reims Collectables,15-12-2004
10373,3,Enviado,1,1,2005,Carros Clássicos,S10_4757,136,39,100.0,4046.25,Médio,"Oulu Toy Supplies, Inc.",31-01-2005
10384,4,Enviado,1,2,2005,Carros Clássicos,S10_4757,136,34,100.0,4846.7,Médio,Corporate Gift Ideas Co.,23-02-2005
10395,2,Enviado,1,3,2005,Carros Clássicos,S10_4757,136,32,100.0,3370.56,Médio,Lyon Souveniers,17-03-2005
10400,9,Enviado,2,4,2005,Carros Clássicos,S10_4757,136,64,100.0,9661.44,Grande,The Sharp Gifts Warehouse,01-04-2005
10414,3,Em espera,2,5,2005,Carros Clássicos,S10_4757,136,19,100.0,2764.88,Pequeno,Gifts4AllAges.com,06-05-2005
10103,4,Enviado,1,1,2003,Carros Clássicos,S10_4962,147,42,100.0,5398.26,Médio,Baane Mini Imports,29-01-2003
10114,8,Enviado,2,4,2003,Carros Clássicos,S10_4962,147,31,100.0,4305.28,Médio,"La Corne D'abondance, Co.",01-04-2003
10126,4,Enviado,2,5,2003,Carros Clássicos,S10_4962,147,22,100.0,3347.74,Médio,"Corrida Auto Replicas, Ltd",28-05-2003
10140,4,Enviado,3,7,2003,Carros Clássicos,S10_4962,147,26,100.0,3188.12,Médio,Technics Stores Inc.,24-07-2003
10150,1,Enviado,3,9,2003,Carros Clássicos,S10_4962,147,20,100.0,3191.2,Médio,"Dragon Souveniers, Ltd.",19-09-2003
10164,2,Resolvido,4,10,2003,Carros Clássicos,S10_4962,147,21,100.0,3536.82,Médio,Mini Auto Werke,21-10-2003
10175,9,Enviado,4,11,2003,Carros Clássicos,S10_4962,147,33,100.0,5362.83,Médio,"Stylish Desk Decors, Co.",06-11-2003
10183,1,Enviado,4,11,2003,Carros Clássicos,S10_4962,147,28,100.0,3433.36,Médio,"Classic Gift Ideas, Inc",13-11-2003
10194,4,Enviado,4,11,2003,Carros Clássicos,S10_4962,147,26,100.0,4263.74,Médio,"Saveley & Henriot, Co.",25-11-2003
10207,15,Enviado,4,12,2003,Carros Clássicos,S10_4962,147,31,100.0,4076.19,Médio,Diecast Collectables,09-12-2003
10217,4,Enviado,1,2,2004,Carros Clássicos,S10_4962,147,48,100.0,7020.48,Grande,Handji Gifts& Co,04-02-2004
10229,9,Enviado,1,3,2004,Carros Clássicos,S10_4962,147,50,100.0,6426.5,Médio,Mini Gifts Distributors Ltd.,11-03-2004
10245,2,Enviado,2,5,2004,Carros Clássicos,S10_4962,147,28,100.0,4591.72,Médio,Super Scale Inc.,04-05-2004
10259,12,Enviado,2,6,2004,Carros Clássicos,S10_4962,147,26,100.0,4033.38,Médio,Handji Gifts& Co,15-06-2004
10270,2,Enviado,3,7,2004,Carros Clássicos,S10_4962,147,32,100.0,4302.08,Médio,Souveniers And Things Co.,19-07-2004
10281,9,Enviado,3,8,2004,Carros Clássicos,S10_4962,147,44,100.0,7020.64,Grande,Diecast Classics Inc.,19-08-2004
10291,4,Enviado,3,9,2004,Carros Clássicos,S10_4962,147,30,100.0,3855.9,Médio,Scandinavian Gift Ideas,08-09-2004
10305,13,Enviado,4,10,2004,Carros Clássicos,S10_4962,147,38,100.0,6680.78,Médio,Marta's Replicas Co.,13-10-2004
10313,7,Enviado,4,10,2004,Carros Clássicos,S10_4962,147,40,100.0,6678.0,Médio,Canadian Gift Exchange Network,22-10-2004
10322,8,Enviado,4,11,2004,Carros Clássicos,S10_4962,147,46,61.99,2851.54,Pequeno,Online Diecast Creations Co.,04-11-2004
10334,2,Em espera,4,11,2004,Carros Clássicos,S10_4962,147,26,100.0,3188.12,Médio,"Volvo Model Replicas, Co",19-11-2004
10347,2,Enviado,4,11,2004,Carros Clássicos,S10_4962,147,27,100.0,4428.0,Médio,"Australian Collectors, Co.",29-11-2004
10357,9,Enviado,4,12,2004,Carros Clássicos,S10_4962,147,43,100.0,5780.92,Médio,Mini Gifts Distributors Ltd.,10-12-2004
10370,4,Enviado,1,1,2005,Carros Clássicos,S10_4962,147,35,65.63,2297.05,Pequeno,"Anna's Decorations, Ltd",20-01-2005
10381,6,Enviado,1,2,2005,Carros Clássicos,S10_4962,147,37,100.0,6231.54,Médio,Corporate Gift Ideas Co.,17-02-2005
10391,7,Enviado,1,3,2005,Carros Clássicos,S10_4962,147,37,46.9,1735.3,Pequeno,"Anna's Decorations, Ltd",09-03-2005
10411,2,Enviado,2,5,2005,Carros Clássicos,S10_4962,147,27,100.0,4427.73,Médio,Quebec Home Shopping Network,01-05-2005
10425,12,Em processamento,2,5,2005,Carros Clássicos,S10_4962,147,38,100.0,5894.94,Médio,La Rochelle Gifts,31-05-2005
10108,6,Enviado,1,3,2003,Carros Clássicos,S12_1099,194,33,100.0,5265.15,Médio,Cruz & Sons Co.,03-03-2003
10122,10,Enviado,2,5,2003,Carros Clássicos,S12_1099,194,42,100.0,7599.9,Grande,Marseille Mini Autos,08-05-2003
10135,7,Enviado,3,7,2003,Carros Clássicos,S12_1099,194,42,100.0,8008.56,Grande,Mini Gifts Distributors Ltd.,02-07-2003
10147,7,Enviado,3,9,2003,Carros Clássicos,S12_1099,194,48,100.0,9245.76,Grande,Collectables For Less Inc.,05-09-2003
10159,2,Enviado,4,10,2003,Carros Clássicos,S12_1099,194,41,100.0,8296.35,Grande,Corporate Gift Ideas Co.,10-10-2003
10169,2,Enviado,4,11,2003,Carros Clássicos,S12_1099,194,30,100.0,5019.9,Médio,"Anna's Decorations, Ltd",04-11-2003
10181,14,Enviado,4,11,2003,Carros Clássicos,S12_1099,194,27,100.0,5411.07,Médio,Herkku Gifts,12-11-2003
10191,3,Enviado,4,11,2003,Carros Clássicos,S12_1099,194,21,100.0,3840.9,Médio,"Toms Spezialitten, Ltd",20-11-2003
10203,8,Enviado,4,12,2003,Carros Clássicos,S12_1099,194,20,100.0,3930.4,Médio,Euro Shopping Channel,02-12-2003
10211,2,Enviado,1,1,2004,Carros Clássicos,S12_1099,194,41,100.0,7498.9,Grande,Auto Canal Petit,15-01-2004
10225,9,Enviado,1,2,2004,Carros Clássicos,S12_1099,194,27,100.0,4517.91,Médio,"Vida Sport, Ltd",22-02-2004
10238,3,Enviado,2,4,2004,Carros Clássicos,S12_1099,194,28,100.0,5774.72,Médio,Danish Wholesale Imports,09-04-2004
10253,13,Cancelado,2,6,2004,Carros Clássicos,S12_1099,194,24,100.0,3922.56,Médio,"UK Collectables, Ltd.",01-06-2004
10266,14,Enviado,3,7,2004,Carros Clássicos,S12_1099,194,44,100.0,9160.36,Grande,L'ordine Souveniers,06-07-2004
10276,3,Enviado,3,8,2004,Carros Clássicos,S12_1099,194,50,100.0,9631.0,Grande,Online Mini Collectables,02-08-2004
10287,12,Enviado,3,8,2004,Carros Clássicos,S12_1099,194,21,100.0,3432.24,Médio,"Vida Sport, Ltd",30-08-2004
10300,5,Enviado,4,10,2003,Carros Clássicos,S12_1099,194,33,100.0,5521.89,Médio,"Blauer See Auto, Co.",04-10-2003
10310,10,Enviado,4,10,2004,Carros Clássicos,S12_1099,194,33,100.0,6934.62,Médio,"Toms Spezialitten, Ltd",16-10-2004
10320,3,Enviado,4,11,2004,Carros Clássicos,S12_1099,194,31,100.0,6876.11,Médio,"Volvo Model Replicas, Co",03-11-2004
10329,5,Enviado,4,11,2004,Carros Clássicos,S12_1099,194,41,71.47,2930.27,Pequeno,Land of Toys Inc.,15-11-2004
10341,2,Enviado,4,11,2004,Carros Clássicos,S12_1099,194,45,79.65,3584.25,Médio,Salzburg Collectables,24-11-2004
10363,3,Enviado,1,1,2005,Carros Clássicos,S12_1099,194,33,85.39,2817.87,Pequeno,Suominen Souveniers,06-01-2005
10375,7,Enviado,1,2,2005,Carros Clássicos,S12_1099,194,45,76.0,3420.0,Médio,La Rochelle Gifts,03-02-2005
10389,4,Enviado,1,3,2005,Carros Clássicos,S12_1099,194,26,99.04,2575.04,Pequeno,Scandinavian Gift Ideas,03-03-2005
10419,13,Enviado,2,5,2005,Carros Clássicos,S12_1099,194,12,100.0,1961.28,Pequeno,Salzburg Collectables,17-05-2005
10105,15,Enviado,1,2,2003,Carros Clássicos,S12_1108,207,41,100.0,8690.36,Grande,Danish Wholesale Imports,11-02-2003
10117,9,Enviado,2,4,2003,Carros Clássicos,S12_1108,207,33,100.0,6034.38,Médio,"Dragon Souveniers, Ltd.",16-04-2003
10127,2,Enviado,2,6,2003,Carros Clássicos,S12_1108,207,46,100.0,11279.2,Grande,Muscle Machine Inc,03-06-2003
10142,12,Enviado,3,8,2003,Carros Clássicos,S12_1108,207,33,100.0,8023.29,Grande,Mini Gifts Distributors Ltd.,08-08-2003
10153,11,Enviado,3,9,2003,Carros Clássicos,S12_1108,207,20,100.0,4904.0,Médio,Euro Shopping Channel,28-09-2003
10165,3,Enviado,4,10,2003,Carros Clássicos,S12_1108,207,44,100.0,8594.52,Grande,"Dragon Souveniers, Ltd.",22-10-2003
10176,2,Enviado,4,11,2003,Carros Clássicos,S12_1108,207,33,100.0,7474.5,Grande,L'ordine Souveniers,06-11-2003
10185,13,Enviado,4,11,2003,Carros Clássicos,S12_1108,207,21,100.0,3883.74,Médio,Mini Creations Ltd.,14-11-2003
10196,5,Enviado,4,11,2003,Carros Clássicos,S12_1108,207,47,100.0,8887.7,Grande,Super Scale Inc.,26-11-2003
10208,13,Enviado,1,1,2004,Carros Clássicos,S12_1108,207,46,100.0,8602.92,Grande,"Saveley & Henriot, Co.",02-01-2004
10220,2,Enviado,1,2,2004,Carros Clássicos,S12_1108,207,32,100.0,7181.44,Grande,"Clover Collections, Co.",12-02-2004
10231,2,Enviado,1,3,2004,Carros Clássicos,S12_1108,207,42,100.0,8378.58,Grande,CAF Imports,19-03-2004
10247,2,Enviado,2,5,2004,Carros Clássicos,S12_1108,207,44,100.0,10606.2,Grande,Suominen Souveniers,05-05-2004
10272,2,Enviado,3,7,2004,Carros Clássicos,S12_1108,207,35,100.0,5818.4,Médio,Diecast Classics Inc.,20-07-2004
10282,5,Enviado,3,8,2004,Carros Clássicos,S12_1108,207,41,100.0,7071.27,Grande,Mini Gifts Distributors Ltd.,20-08-2004
10293,8,Enviado,3,9,2004,Carros Clássicos,S12_1108,207,46,100.0,8411.56,Grande,Amica Models & Co.,09-09-2004
10306,13,Enviado,4,10,2004,Carros Clássicos,S12_1108,207,31,100.0,6570.76,Médio,"AV Stores, Co.",14-10-2004
10314,5,Enviado,4,10,2004,Carros Clássicos,S12_1108,207,38,100.0,7975.44,Grande,Heintze Collectables,22-10-2004
10325,8,Enviado,4,11,2004,Carros Clássicos,S12_1108,207,42,64.0,2688.0,Pequeno,Baane Mini Imports,05-11-2004
10336,10,Enviado,4,11,2004,Carros Clássicos,S12_1108,207,33,57.22,1888.26,Pequeno,"La Corne D'abondance, Co.",20-11-2004
